Q#1 - >115 Desulfovibrio salexigens DSM 2638 | Desal_0566	pfam03102	 - 	31	259
Q#1 - >115 Desulfovibrio salexigens DSM 2638 | Desal_0566	cl17225	 - 	31	259
Q#1 - >115 Desulfovibrio salexigens DSM 2638 | Desal_0566	COG2089	 - 	9	270
Q#1 - >115 Desulfovibrio salexigens DSM 2638 | Desal_0566	cl30261	 - 	9	270
Q#1 - >115 Desulfovibrio salexigens DSM 2638 | Desal_0566	TIGR03569	 - 	10	270
Q#1 - >115 Desulfovibrio salexigens DSM 2638 | Desal_0566	cl30262	 - 	10	270
Q#1 - >115 Desulfovibrio salexigens DSM 2638 | Desal_0566	TIGR03586	 - 	9	273
Q#1 - >115 Desulfovibrio salexigens DSM 2638 | Desal_0566	cl31462	 - 	9	273
Q#1 - >115 Desulfovibrio salexigens DSM 2638 | Desal_0566	TIGR01361	NC	72	148
Q#2 - >357 Shewanella halifaxensis HAW-EB4 | Shal_1403	pfam03102	 - 	25	253
Q#2 - >357 Shewanella halifaxensis HAW-EB4 | Shal_1403	cl17225	 - 	25	253
Q#2 - >357 Shewanella halifaxensis HAW-EB4 | Shal_1403	COG2089	 - 	1	260
Q#2 - >357 Shewanella halifaxensis HAW-EB4 | Shal_1403	cl30261	 - 	1	260
Q#2 - >357 Shewanella halifaxensis HAW-EB4 | Shal_1403	TIGR03569	 - 	4	264
Q#2 - >357 Shewanella halifaxensis HAW-EB4 | Shal_1403	cl30262	 - 	4	264
Q#2 - >357 Shewanella halifaxensis HAW-EB4 | Shal_1403	TIGR03586	C	4	218
Q#2 - >357 Shewanella halifaxensis HAW-EB4 | Shal_1403	cl31462	C	4	218
Q#2 - >357 Shewanella halifaxensis HAW-EB4 | Shal_1403	PRK13397	NC	66	157
Q#2 - >357 Shewanella halifaxensis HAW-EB4 | Shal_1403	PRK13398	NC	74	157
Q#3 - >366 Shewanella oneidensis MR-1 | SO_3261	pfam03102	 - 	27	255
Q#3 - >366 Shewanella oneidensis MR-1 | SO_3261	cl17225	 - 	27	255
Q#3 - >366 Shewanella oneidensis MR-1 | SO_3261	COG2089	C	2	222
Q#3 - >366 Shewanella oneidensis MR-1 | SO_3261	cl30261	C	2	222
Q#3 - >366 Shewanella oneidensis MR-1 | SO_3261	TIGR03569	 - 	6	262
Q#3 - >366 Shewanella oneidensis MR-1 | SO_3261	cl30262	 - 	6	262
Q#3 - >366 Shewanella oneidensis MR-1 | SO_3261	TIGR03586	C	5	222
Q#3 - >366 Shewanella oneidensis MR-1 | SO_3261	cl31462	C	5	222
Q#3 - >366 Shewanella oneidensis MR-1 | SO_3261	PRK13397	NC	89	159
Q#4 - >342 Shewanella baltica OS155 | Sbal_2958	pfam03102	 - 	27	255
Q#4 - >342 Shewanella baltica OS155 | Sbal_2958	cl17225	 - 	27	255
Q#4 - >342 Shewanella baltica OS155 | Sbal_2958	COG2089	C	4	220
